2025-03-08 18:14:17,932 - views.py - FlaskMVCProject -  admin_insert_category - INFO - Added category 'prince'

2025-03-08 18:17:32,522 - views.py - FlaskMVCProject -  admin_insert_category - INFO - Added category 'nihar'

2025-03-08 18:19:38,317 - views.py - FlaskMVCProject -  admin_insert_category - INFO - Added category '1'

2025-03-08 18:19:59,719 - views.py - FlaskMVCProject -  admin_insert_category - INFO - Added category 'Electronics'

2025-03-08 18:24:40,060 - views.py - FlaskMVCProject -  admin_insert_category - INFO - Added category 'dc'

2025-03-08 18:25:11,231 - views.py - FlaskMVCProject -  admin_insert_category - INFO - Added category 'dced'

2025-03-08 18:27:48,623 - views.py - FlaskMVCProject -  admin_insert_category - INFO - Added category 'princess'

2025-03-08 18:28:37,035 - views.py - FlaskMVCProject -  admin_insert_category - INFO - Added category 'princehfjnfjkvb'

2025-03-08 18:29:01,421 - views.py - FlaskMVCProject -  admin_insert_category - INFO - Added category 'dwscc'

2025-03-08 18:29:22,190 - views.py - FlaskMVCProject -  admin_insert_category - INFO - Added category 'dwsccsw'

2025-03-08 18:29:34,567 - views.py - FlaskMVCProject -  admin_insert_category - INFO - Added category 'prinfedbvkjdk'

2025-03-08 18:32:53,778 - views.py - FlaskMVCProject -  admin_insert_category - INFO - Added category '12w3'

2025-03-08 20:20:32,276 - views.py - FlaskMVCProject -  admin_insert_category - INFO - Added category 'prince'

2025-03-08 20:24:49,734 - views.py - FlaskMVCProject -  admin_insert_category - INFO - Added category 'Electronics2'

2025-03-09 17:57:44,023 - views.py - FlaskMVCProject -  admin_insert_category - INFO - Added category 'prince '

2025-03-09 18:23:14,832 - views.py - FlaskMVCProject -  admin_insert_category - INFO - Added category 'ddsElectronics'

2025-03-09 18:25:16,631 - views.py - FlaskMVCProject -  admin_insert_category - INFO - Added category 'princess'

2025-03-10 07:21:02,727 - views.py - FlaskMVCProject -  admin_insert_category - INFO - Added category 'prinec'

2025-03-10 07:48:46,699 - views.py - FlaskMVCProject -  admin_insert_category - INFO - Added category 'prince'

2025-03-10 07:51:05,844 - views.py - FlaskMVCProject -  admin_insert_category - INFO - Added category 'wefcew'

2025-03-10 11:43:33,600 - views.py - FlaskMVCProject -  admin_insert_category - INFO - Added category 'dfv'

2025-03-10 16:46:52,916 - views.py - FlaskMVCProject -  admin_insert_category - INFO - Added category 'fdvfd'

2025-03-11 06:16:11,520 - views.py - FlaskMVCProject -  home - INFO - 

2025-03-11 06:58:29,078 - views.py - FlaskMVCProject -  home - INFO - 

2025-03-11 07:05:06,627 - views.py - FlaskMVCProject -  home - INFO - 

